,movie_name,year,imdb_rating,meta_rating,total_votes
0,Avengers: Infinity War,2018,8.5,68        ,603240
1,Black Panther,2018,7.3,88        ,479576
2,Deadpool 2,2018,7.8,66        ,360989
3,Bohemian Rhapsody,2018,8.1,49        ,300941
4,Ready Player One,2018,7.5,64        ,286769
5,A Quiet Place,2018,7.6,82        ,284170
6,Venom,2018,6.8,35        ,246638
7,Mission: Impossible - Fallout,2018,7.8,86        ,220187
8,A Star Is Born,2018,7.8,88        ,217048
9,Annihilation,2018,6.9,79        ,217016
10,Solo: A Star Wars Story,2018,7.0,62        ,211436
11,Ant-Man and the Wasp,2018,7.1,70        ,207966
12,Jurassic World: Fallen Kingdom,2018,6.2,51        ,203645
13,Bird Box,2018,6.7,51        ,197359
14,Aquaman,2018,7.3,55        ,197217
15,Incredibles 2,2018,7.7,80        ,186759
16,Tomb Raider,2018,6.3,48        ,156201
17,Game Night,2018,7.0,66        ,153688
18,Spider-Man: Into the Spider-Verse,2018,8.6,87        ,147503
19,Green Book,2018,8.3,69        ,142946
20,Fantastic Beasts: The Crimes of Grindelwald,2018,6.7,52        ,138401
21,Hereditary,2018,7.3,87        ,137516
22,Ocean's Eight,2018,6.2,61        ,132808
23,Red Sparrow,2018,6.6,53        ,130648
24,BlacKkKlansman,2018,7.5,83        ,126651
25,Rampage,2018,6.1,45        ,109529
26,First Man,2018,7.4,84        ,106147
27,Isle of Dogs,2018,7.9,82        ,101034
28,The Meg,2018,5.7,46        ,100643
29,Roma,2018,7.8,96        ,95900
30,Upgrade,2018,7.6,67        ,95238
31,The Favourite,2018,7.7,90        ,93024
32,The Equalizer 2,2018,6.7,50        ,87201
33,Maze Runner: The Death Cure,2018,6.2,50        ,86955
34,Sicario: Day of the Soldado,2018,7.1,61        ,86765
35,The Predator,2018,5.4,48        ,86538
36,Pacific Rim: Uprising,2018,5.6,44        ,85137
37,Searching,2018,7.7,71        ,85069
38,Crazy Rich Asians,2018,7.0,74        ,83556
39,The Nun,2018,5.4,46        ,81100
40,The Cloverfield Paradox,2018,5.6,37        ,80509
41,Halloween,2018,6.7,67        ,80227
42,The Commuter,2018,6.3,56        ,79009
43,The Ballad of Buster Scruggs,2018,7.3,79        ,78329
44,"Love, Simon",2018,7.7,72        ,77092
45,Tag,2018,6.6,56        ,74857
46,A Simple Favor,2018,6.9,67        ,73691
47,Skyscraper,2018,5.8,51        ,73310
48,Bad Times at the El Royale,2018,7.1,60        ,73258
49,Ralph Breaks the Internet,2018,7.2,71        ,67457
50,Den of Thieves,2018,7.0,49        ,65838
51,Creed II,2018,7.3,66        ,56922
52,To All the Boys I've Loved Before,2018,7.3,64        ,56518
53,Bumblebee,2018,7.1,66        ,55840
54,Mamma Mia! Here We Go Again,2018,6.8,60        ,54385
55,Blockers,2018,6.2,69        ,53383
56,Widows,2018,7.0,84        ,51401
57,Mortal Engines,2018,6.2,44        ,51255
58,Vice,2018,7.2,61        ,47750
59,12 Strong,2018,6.6,54        ,47324
60,Death Wish,2018,6.4,31        ,46673
61,Christopher Robin,2018,7.4,60        ,45442
62,Overlord,2018,6.8,60        ,45050
63,Mile 22,2018,6.1,38        ,43357
64,The Spy Who Dumped Me,2018,6.0,52        ,42771
65,Johnny English Strikes Again,2018,6.2,39        ,42282
66,Fifty Shades Freed,2018,4.5,31        ,41701
67,Outlaw King,2018,7.0,59        ,41675
68,Mowgli: Legend of the Jungle,2018,6.5,51        ,41556
69,Insidious: The Last Key,2018,5.7,49        ,39980
70,Mandy,2018,6.6,81        ,39615
71,Hotel Transylvania 3: Summer Vacation,2018,6.3,54        ,38425
72,Mary Poppins Returns,2018,7.1,66        ,38032
73,Tully,2018,7.0,75        ,37925
